code,country,direction,district,measure,month,netto,quantity,region,value
6214200000,GB,ИМ,1,ШТ,01/2016,20,122,45000,10777
8425490000,ES,ИМ,1,ШТ,01/2016,13617,8277,29000,113741
3909300001,CN,ИМ,6,1,01/2016,80000,0,32000,111200
8708291000,CZ,ИМ,4,1,01/2016,6184,0,22000,76166
8542399010,PR,ИМ,5,ШТ,01/2016,3,1980,65000,2449
8302500000,RO,ИМ,1,1,01/2016,47,0,29000,197
8452210000,CN,ИМ,4,ШТ,01/2016,73,1,92000,1913
8708291000,TH,ИМ,2,1,01/2016,966,0,40000,29304
9002190000,TW,ИМ,1,ШТ,01/2016,1,1,45000,662
8525809109,EE,ИМ,1,ШТ,01/2016,53,20,45000,34446
8708409909,CA,ИМ,4,1,01/2016,0,0,92000,11
3402909000,RO,ИМ,1,1,01/2016,7,0,45000,263
8708939009,MX,ИМ,1,1,01/2016,15,0,46000,839
7308300000,IT,ИМ,1,1,01/2016,10178,0,45000,40965
6106200000,DE,ИМ,1,ШТ,01/2016,955,4686,45000,40264
7616999008,BY,ИМ,1,1,01/2016,1990,0,15000,6084
0403109100,BY,ИМ,2,1,01/2016,523,0,27000,540
8512400009,ID,ИМ,1,ШТ,01/2016,2,1,45000,95
7318220009,SK,ИМ,1,1,01/2016,3,0,46000,711
8538909909,CN,ИМ,4,1,01/2016,1460,0,97000,49500
8425420000,CN,ИМ,5,ШТ,01/2016,38999,2579,65000,72877
3814009000,CH,ИМ,1,1,01/2016,1179,0,46000,8239
8536490000,MX,ИМ,1,1,01/2016,31,0,45000,5101
8708299009,ZA,ИМ,4,1,01/2016,7,0,22000,21
6104520000,VN,ИМ,1,ШТ,01/2016,1,5,45000,28
8484100009,IT,ИМ,1,1,01/2016,76,0,46000,3196
8708809909,AT,ИМ,1,1,01/2016,5,0,29000,761
8419908509,BY,ИМ,1,1,01/2016,3111,0,45000,3170
6113009000,HU,ИМ,1,1,01/2016,1,0,45000,175
6108920000,IN,ИМ,1,ШТ,01/2016,185,1010,45000,3758
9404211000,BY,ИМ,1,ШТ,01/2016,1160,26,45000,5132
2009905901,DE,ИМ,1,1,01/2016,3276,0,46000,42495
3907999000,NL,ИМ,1,1,01/2016,223940,0,45000,885564
2006003800,CN,ИМ,1,1,01/2016,50,0,45000,118
8424900000,IT,ИМ,1,ШТ,01/2016,41,72,42000,1683
8421230000,SE,ИМ,1,ШТ,01/2016,2865,5572,46000,70654
3926909709,FR,ИМ,1,1,01/2016,1,0,78000,28
3207209000,IT,ИМ,2,1,01/2016,1390,0,40000,12935
8536419000,BE,ИМ,1,1,01/2016,2,0,46000,616
1302201000,CZ,ИМ,1,1,01/2016,33800,0,45000,358921
7616999008,PL,ИМ,1,1,01/2016,5327,0,45000,23094
8311200000,US,ИМ,1,1,01/2016,59210,0,45000,158285
8541500000,CN,ИМ,2,ШТ,01/2016,0,11,40000,68
4015900000,IT,ИМ,1,1,01/2016,3,0,46000,774
9026108900,CN,ИМ,1,ШТ,01/2016,645,3328,46000,24020
8708309909,DE,ИМ,4,1,01/2016,10,0,92000,601
9401400000,CN,ИМ,3,ШТ,01/2016,361,50,3000,1015
