month	country	direction	code	category	measure	value	netto	quantity	region	district	meta_year	meta_month
12/2017	EG	ЭК	1512119109	МАСЛО ПОДСОЛНЕЧНОЕ, САФЛОРОВОЕ ИЛИ ХЛОПКОВОЕ И ИХ ФРАКЦИИ, НЕРАФИНИРОВАННЫЕ ИЛИ РАФИНИРОВАННЫЕ, НО БЕЗ ИЗМЕНЕНИЯ ХИМИЧЕСКОГО СОСТАВА	1	856869	1165808	0	63000	4	2017	12
12/2017	CN	ИМ	7314310000	МЕТАЛЛИЧЕСКАЯ ТКАНЬ (ВКЛЮЧАЯ БЕСКОНЕЧНЫЕ ЛЕНТЫ), РЕШЕТКИ, СЕТКИ И ОГРАЖДЕНИЯ ИЗ ПРОВОЛОКИ, ИЗ ЧЕРНЫХ МЕТАЛЛОВ; ПРОСЕЧНО-ВЫТЯЖНОЙ ЛИСТ ИЗ ЧЕРНЫХ МЕТАЛЛОВ	1	112	1	0	94000	4	2017	12
12/2017	BY	ЭК	9603500009	МЕТЛЫ, ЩЕТКИ (ВКЛЮЧАЯ ЩЕТКИ, ЯВЛЯЮЩИЕСЯ ЧАСТЯМИ МЕХАНИЗМОВ, ПРИБОРОВ ИЛИ ТРАНСПОРТНЫХ СРЕДСТВ), ЩЕТКИ РУЧНЫЕ МЕХАНИЧЕСКИЕ БЕЗ ДВИГАТЕЛЕЙ ДЛЯ УБОРКИ ПОЛОВ, ШВАБРЫ И МЕТЕЛКИ ИЗ ПЕРЬЕВ ДЛЯ СМАХИВАНИЯ ПЫЛИ; УЗЛЫ И ПУЧКИ, ПОДГОТОВЛЕННЫЕ ДЛЯ ИЗГОТОВЛЕНИЯ МЕТЕЛ ИЛИ ЩЕТОЧНЫХ ИЗДЕЛИЙ; ПОДУШЕЧКИ И ВАЛИКИ МАЛЯРНЫЕ ДЛЯ КРАСКИ; РЕЗИНОВЫЕ ШВАБРЫ (КРОМЕ РЕЗИНОВЫХ ВАЛИКОВ ДЛЯ УДАЛЕНИЯ ВЛАГИ)	ШТ	31	1	40	75000	5	2017	12
12/2017	KZ	ИМ	8415109000	УСТАНОВКИ ДЛЯ КОНДИЦИОНИРОВАНИЯ ВОЗДУХА, ОБОРУДОВАННЫЕ ВЕНТИЛЯТОРОМ С ДВИГАТЕЛЕМ И ПРИБОРАМИ ДЛЯ ИЗМЕНЕНИЯ ТЕМПЕРАТУРЫ И ВЛАЖНОСТИ ВОЗДУХА, ВКЛЮЧАЯ КОНДИЦИОНЕРЫ, В КОТОРЫХ ВЛАЖНОСТЬ НЕ МОЖЕТ РЕГУЛИРОВАТЬСЯ ОТДЕЛЬНО	ШТ	35349	3236	146	40000	2	2017	12
12/2017	UZ	ЭК	3920621903	ПЛИТЫ, ЛИСТЫ, ПЛЕНКА И ПОЛОСЫ ИЛИ ЛЕНТЫ, ПРОЧИЕ, ИЗ ПЛАСТМАСС, НЕПОРИСТЫЕ И НЕАРМИРОВАННЫЕ, НЕСЛОИСТЫЕ, БЕЗ ПОДЛОЖКИ И НЕ СОЕДИНЕННЫЕ АНАЛОГИЧНЫМ СПОСОБОМ С ДРУГИМИ МАТЕРИАЛАМИ	1	32475	17554	0	46000	1	2017	12
12/2017	TW	ИМ	3926909709	ИЗДЕЛИЯ ПРОЧИЕ ИЗ ПЛАСТМАСС И ИЗДЕЛИЯ ИЗ ПРОЧИХ МАТЕРИАЛОВ ТОВАРНЫХ ПОЗИЦИЙ 3901 - 3914	1	496	29	0	52000	6	2017	12
12/2017	CN	ИМ	6203423500	КОСТЮМЫ, КОМПЛЕКТЫ, ПИДЖАКИ, БЛАЙЗЕРЫ, БРЮКИ, КОМБИНЕЗОНЫ С НАГРУДНИКАМИ И ЛЯМКАМИ, БРИДЖИ И ШОРТЫ (КРОМЕ КУПАЛЬНЫХ) МУЖСКИЕ ИЛИ ДЛЯ МАЛЬЧИКОВ	ШТ	232	14	53	58000	2	2017	12
12/2017	CN	ИМ	7318169900	ВИНТЫ, БОЛТЫ, ГАЙКИ, ГЛУХАРИ, ВВЕРТНЫЕ КРЮКИ, ЗАКЛЕПКИ, ШПОНКИ, ШПЛИНТЫ, ШАЙБЫ (ВКЛЮЧАЯ ПРУЖИННЫЕ) И АНАЛОГИЧНЫЕ ИЗДЕЛИЯ, ИЗ ЧЕРНЫХ МЕТАЛЛОВ	1	37200	9470	0	60000	3	2017	12
12/2017	IT	ИМ	2826199000	ФТОРИДЫ; ФТОРОСИЛИКАТЫ, ФТОРОАЛЮМИНАТЫ И ПРОЧИЕ КОМПЛЕКСНЫЕ СОЛИ ФТОРА	1	470	25	0	45000	1	2017	12
12/2017	MY	ИМ	3919900000	ПЛИТЫ, ЛИСТЫ, ПЛЕНКА, ЛЕНТА, ПОЛОСА И ПРОЧИЕ ПЛОСКИЕ ФОРМЫ, ИЗ ПЛАСТМАСС, САМОКЛЕЯЩИЕСЯ, В РУЛОНАХ ИЛИ НЕ В РУЛОНАХ	1	6	0	0	46000	1	2017	12
12/2017	KG	ИМ	7404001000	ПРОЧЕЕ	1	246900	39000	0	57000	4	2017	12
